MUNICIPALITY NAME,NAME OF PERSON ELECTED - LAST NAME,NAME OF PERSON ELECTED - FIRST NAME,"NAME OF
OFFICE",NUMBER OF VOTES CAST FOR THE CANDIDATE?,NUMBER OF VOTES CAST FOR THE OFFICE,ELECTED or ACCLAIMED?,DID CANDIDATE SERVE ON 2014-2018 COUNCIL? (YES / NO),"IS THIS OFFICE SUBJECT TO A RECOUNT
(YES / NO)"
Simcoe Co,Walma,Steffen,LOCAL AND COUNTY COUNCILLOR,,,,YES,NO
Sioux Lookout M,Lawrance,Doug,MAYOR,717,"1,756",ELECTED,YES,NO
Sioux Lookout M,Fenelon,Donald,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Sioux Lookout M,Bath,John,LOCAL COUNCILLOR,786,"7,897",ELECTED,YES,NO
Sioux Lookout M,Cassidy,Joe,LOCAL COUNCILLOR,910,"7,897",ELECTED,NO,NO
Sioux Lookout M,Lago,Cory,LOCAL COUNCILLOR,"1,254","7,897",ELECTED,NO,NO
Sioux Lookout M,Southall,Cal,LOCAL COUNCILLOR,988,"7,897",ELECTED,YES,NO
Sioux Lookout M,Timpson,Joyce,LOCAL COUNCILLOR,"1,052","7,897",ELECTED,YES,NO
Sioux Narrows-Nestor Falls Tp,DUFRESNE,NORBERT,MAYOR, -   , -   ,ACCLAIMED,YES,NO
Sioux Narrows-Nestor Falls Tp,BLACK,GALE,LOCAL COUNCILLOR,272,738,ELECTED,YES,NO
Sioux Narrows-Nestor Falls Tp,NISLY,ANDREW,LOCAL COUNCILLOR,318,738,ELECTED,NO,NO
Sioux Narrows-Nestor Falls Tp,RYDBERG,MATTHEW,LOCAL COUNCILLOR,154,297,ELECTED,NO,NO
Sioux Narrows-Nestor Falls Tp,HUDSON,PHILIP,LOCAL COUNCILLOR,68,129,ELECTED,YES,NO
Smiths Falls ST,PANKOW,SHAWN,MAYOR,"2,120","3,213",ELECTED,YES,NO
Smiths Falls ST,MCKENNA,PETER,LOCAL COUNCILLOR,"1,727","15,825",ELECTED,NO,NO
Smiths Falls ST,MCGUIRE,CHRISTOPHER,LOCAL COUNCILLOR,"1,714","15,825",ELECTED,NO,NO
Smiths Falls ST,DWYER,NIKI,LOCAL COUNCILLOR,"1,637","15,825",ELECTED,NO,NO
Smiths Falls ST,ALLEN,LORRAINE,LOCAL COUNCILLOR,"1,569","15,825",ELECTED,YES,NO
Smiths Falls ST,ALFORD,WENDY,LOCAL COUNCILLOR,"1,520","15,825",ELECTED,NO,NO
Smiths Falls ST,BRENNAN,JAY,LOCAL COUNCILLOR,"1,499","15,825",ELECTED,YES,NO
Smooth Rock Falls T,Alie,Daniel,LOCAL COUNCILLOR,337,428,ELECTED,YES,NO
Smooth Rock Falls T,Blais,Marc,LOCAL COUNCILLOR,327,428,ELECTED,YES,NO
Smooth Rock Falls T,Perras,Sue,LOCAL COUNCILLOR,278,428,ELECTED,YES,NO
Smooth Rock Falls T,Roberts,Patrick,LOCAL COUNCILLOR,271,428,ELECTED,NO,NO
Smooth Rock Falls T,Arseneault,Michel,MAYOR, -   , -   ,ACCLAIMED,YES,NO
South Algonquin Tp,Kalimin,Bongo Mike,LOCAL COUNCILLOR,219,719,ELECTED,NO,NO
South Algonquin Tp,Harper,Dave,LOCAL COUNCILLOR,177,719,ELECTED,YES,NO
South Algonquin Tp,Dumas,Jane,MAYOR, -   , -   ,ACCLAIMED,YES,NO
South Algonquin Tp,Vermaire,Joe,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO,NO
South Algonquin Tp,Collins,Sandra,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
South Algonquin Tp,Florent,Joe,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
South Algonquin Tp,Shalla,Richard,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
South Bruce M,Buckle,Robert,MAYOR,"1,380","2,171",ELECTED,YES,NO
South Bruce M,Goetz,Mark,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
South Bruce M,Huber,Wayne,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
South Bruce M,Ireland,Mark,LOCAL COUNCILLOR,533,"1,875",ELECTED,NO,NO
South Bruce M,McDonagh,Mike,LOCAL COUNCILLOR,664,"1,875",ELECTED,YES,NO
South Bruce M,Niesen,Mike,LOCAL COUNCILLOR,"1,020","3,323",ELECTED,YES,NO
South Bruce M,Ireland,Brent (Ben),LOCAL COUNCILLOR,"1,291","3,232",ELECTED,NO,NO
South Dundas Tp,Byvelds,Steven,MAYOR,"2,373","4,181",ELECTED,NO,NO
South Dundas Tp,Gardner,Kirsten,DEPUTY MAYOR,"1,753","4,182",ELECTED,NO,NO
South Dundas Tp,Lewis,Donald William,LOCAL COUNCILLOR,"2,053","11,489",ELECTED,NO,NO
South Dundas Tp,Mellan,Archie,LOCAL COUNCILLOR,"1,993","11,489",ELECTED,YES,NO
South Dundas Tp,Wells,Lloyd,LOCAL COUNCILLOR,"2,166","11,489",ELECTED,NO,YES
South Frontenac Tp,Vandewal,Ron,MAYOR,"3,237","6,729",ELECTED,YES,NO
South Frontenac Tp,Leonard,Ray,LOCAL COUNCILLOR,"1,156","3,020",ELECTED,NO,NO
South Frontenac Tp,Morey,Doug,LOCAL COUNCILLOR,579,"3,020",ELECTED,NO,NO
South Frontenac Tp,Sutherland,Ross,LOCAL COUNCILLOR,"1,647","4,117",ELECTED,YES,NO
South Frontenac Tp,Ruttan,Randy,LOCAL COUNCILLOR,"1,079","4,117",ELECTED,NO,NO
South Frontenac Tp,Revill,Alan,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
South Frontenac Tp,Barr,Pat,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
South Frontenac Tp,Roberts,Norm,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
South Frontenac Tp,Sleeth,Ron,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
South Glengarry Tp,Prevost,Frank,MAYOR, -   , -   ,ACCLAIMED,YES,NO
South Glengarry Tp,Warden,Lyle,DEPUTY MAYOR,"2,902","4,575",ELECTED,YES,NO
South Glengarry Tp,Jaworski,Stephanie,LOCAL COUNCILLOR,"2,205","12,398",ELECTED,NO,NO
South Glengarry Tp,Lang,Martin,LOCAL COUNCILLOR,"2,182","12,398",ELECTED,NO,NO
South Glengarry Tp,McDonell,Sam,LOCAL COUNCILLOR,"2,031","12,398",ELECTED,NO,NO
South Huron M,Finch,George,MAYOR,"2,257","4,067",ELECTED,NO,NO
South Huron M,Dietrich,Jim,DEPUTY MAYOR,"2,533","4,067",ELECTED,NO,NO
South Huron M,Vaughan,Marissa,LOCAL COUNCILLOR,938,"1,416",ELECTED,YES,NO
South Huron M,Faubert,Dianne,LOCAL COUNCILLOR,520,"1,416",ELECTED,NO,NO
South Huron M,Neeb,Aaron,LOCAL COUNCILLOR,"1,453","2,128",ELECTED,NO,NO
South Huron M,Willard,Barb Ferguson,LOCAL COUNCILLOR,"1,166","2,128",ELECTED,NO,NO
South Huron M,Oke,Ted,LOCAL COUNCILLOR,325,523,ELECTED,YES,NO
South River V,Brandt,Teri,LOCAL COUNCILLOR,121,693,ELECTED,YES,NO
South River V,McNeil,Ian,LOCAL COUNCILLOR,190,693,ELECTED,NO,NO
South River V,Scott,Brenda,LOCAL COUNCILLOR,120,693,ELECTED,NO,NO
South River V,Sewell,Doug,LOCAL COUNCILLOR,170,693,ELECTED,YES,NO
South River V,Coleman,Jim,MAYOR, -   , -   ,ACCLAIMED,YES,NO
South Stormont Tp,McGillis,Bryan,MAYOR,"2,311","5,044",ELECTED,NO,NO
South Stormont Tp,Smith,David,DEPUTY MAYOR,"2,587","4,894",ELECTED,YES,NO
South Stormont Tp,MacIsaac,Jennifer,LOCAL COUNCILLOR,"2,318","13,267",ELECTED,NO,NO
South Stormont Tp,Guindon,Andrew,LOCAL COUNCILLOR,"1,892","13,267",ELECTED,NO,NO
South Stormont Tp,Woods,Cindy,LOCAL COUNCILLOR,"1,663","13,267",ELECTED,NO,NO
Southgate Tp,Woodbury,John,MAYOR,"1,423","1,788",ELECTED,YES,NO
Southgate Tp,Dobreen,Barbara,LOCAL COUNCILLOR,"1,464","7,395",ELECTED,YES,NO
Southgate Tp,Frew,Jim,LOCAL COUNCILLOR,"1,025","7,395",ELECTED,YES,NO
Southgate Tp,Shipston,Martin,LOCAL COUNCILLOR,952,"7,395",ELECTED,NO,NO
Southgate Tp,Rice,Jason,LOCAL COUNCILLOR,"1,286","7,395",ELECTED,NO,NO
Southgate Tp,Sherson,Michael,LOCAL COUNCILLOR,"1,164","7,395",ELECTED,NO,NO
Southgate Tp,Milne,Brian,DEPUTY MAYOR,910,"1,803",ELECTED,NO,NO
Southwest Middlesex M,Vink,Martin,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Southwest Middlesex M,Sholdice,Mike,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO,NO
Southwest Middlesex M,Mayhew,Allan,MAYOR,"1,478","2,231",ELECTED,NO,NO
Southwest Middlesex M,Wilkins,Marigay,DEPUTY MAYOR,"1,158","2,208",ELECTED,YES,NO
Southwest Middlesex M,Cowell,Christa,LOCAL COUNCILLOR,458,"1,345",ELECTED,NO,NO
Southwest Middlesex M,McGill,Mark,LOCAL COUNCILLOR,468,"1,345",ELECTED,NO,NO
Southwest Middlesex M,Bartlett,Doug,LOCAL COUNCILLOR,566,"1,579",ELECTED,YES,NO
Southwest Middlesex M,Carruthers,Ian,LOCAL COUNCILLOR,663,"1,579",ELECTED,NO,NO
South-West Oxford Tp,Mayberry,David,MAYOR, -   , -   ,ACCLAIMED,YES,NO
South-West Oxford Tp,Buchner,Paul,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
South-West Oxford Tp,Durston,Valerie ,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
South-West Oxford Tp,Way,George,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,YES
South-West Oxford Tp,Pickard,Jim,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
South-West Oxford Tp,Ypma,Peter,LOCAL COUNCILLOR,152,267,ELECTED,NO,NO
South-West Oxford Tp,Gillis,Craig,LOCAL COUNCILLOR,157,236,ELECTED,NO,NO
Southwold Tp,JONES,GRANT,MAYOR,"1,074","1,639",ELECTED,YES,NO
Southwold Tp,MONTEITH,ROBERT,DEPUTY MAYOR,962,"1,640",ELECTED,YES,NO
Southwold Tp,PENNINGS,JUSTIN,LOCAL COUNCILLOR,998,"4,423",ELECTED,NO,NO
Southwold Tp,NORTH,PETER,LOCAL COUNCILLOR,909,"4,423",ELECTED,YES,NO
Southwold Tp,EMONS,SARAH,LOCAL COUNCILLOR,755,"4,423",ELECTED,NO,NO
Spanish T,Bishop,Jocelyne,MAYOR,196,363,ELECTED,YES,NO
Spanish T,Von Pickartz,Karen,LOCAL COUNCILLOR,294,370,ELECTED,YES,NO
Spanish T,Trudel,Sandra,LOCAL COUNCILLOR,261,370,ELECTED,NO,NO
Spanish T,Zarichney,Mary-Louise,LOCAL COUNCILLOR,248,370,ELECTED,NO,NO
Spanish T,Joncas,Debra,LOCAL COUNCILLOR,213,370,ELECTED,NO,NO
Springwater Tp,Allen,Don,Mayor,"2,472","5,903",ELECTED,YES,NO
Springwater Tp,Coughlin,Jennifer,DEPUTY MAYOR,"3,905","5,808",ELECTED,YES,NO
Springwater Tp,Cabral,George,LOCAL COUNCILLOR,578,"1,114",ELECTED,NO,NO
Springwater Tp,Ritchie,Perry,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Springwater Tp,Maw-Chapman,Wanda,LOCAL COUNCILLOR,859,"1,303",ELECTED,NO,NO
Springwater Tp,Moore,Anita,LOCAL COUNCILLOR,623,"1,127",ELECTED,NO,NO
Springwater Tp,Hanna,Jack,LOCAL COUNCILLOR,885,"1,340",ELECTED,YES,NO
St Catharines C,Sendzik,Walter,MAYOR,"21,574","31,021",ELECTED,YES,NO
St Catharines C,Miller,Greg,LOCAL COUNCILLOR,"1,848","7,302",ELECTED,NO,NO
St Catharines C,Littleton,Lori,LOCAL COUNCILLOR,"1,527","7,302",ELECTED,NO,NO
St Catharines C,Kushner,Joe,LOCAL COUNCILLOR,"2,954","2,276",ELECTED,YES,NO
St Catharines C,Harris,Matt,LOCAL COUNCILLOR,"2,850","2,276",ELECTED,YES,NO
St Catharines C,Sorrento,Sal,LOCAL COUNCILLOR,"1,921","3,157",ELECTED,YES,NO
St Catharines C,Townsend,Kevin,LOCAL COUNCILLOR,"1,536","3,157",ELECTED,NO,NO
St Catharines C,Porter,Karrie,LOCAL COUNCILLOR,"3,098","3,775",ELECTED,NO,NO
St Catharines C,Siscoe,Matt,LOCAL COUNCILLOR,"2,279","3,775",ELECTED,YES,NO
St Catharines C,Phillips,Bill,LOCAL COUNCILLOR,"2,860","5,392",ELECTED,YES,NO
St Catharines C,Dodge,Dawn,LOCAL COUNCILLOR,"2,227","5,392",ELECTED,NO,NO
St Catharines C,Garcia,Carlos,LOCAL COUNCILLOR,"3,263","5,917",ELECTED,YES,NO
St Catharines C,Williamson,Bruce,LOCAL COUNCILLOR,"3,018","5,917",ELECTED,YES,NO
St Catharines C,Bradley,Jim,REGIONAL COUNCILLOR,"18,954","21,433",ELECTED,NO,NO
St Catharines C,Darte,George,REGIONAL COUNCILLOR,"12,516","21,433",ELECTED,NO,NO
St Catharines C,Bellows,Sandie,REGIONAL COUNCILLOR,"11,117","21,433",ELECTED,NO,NO
St Catharines C,Ip,Laura,REGIONAL COUNCILLOR,"9,878","21,433",ELECTED,NO,NO
St Catharines C,Heit,Brian,REGIONAL COUNCILLOR,"8,499","21,433",ELECTED,YES,NO
St Catharines C,Rigby,Tim,REGIONAL COUNCILLOR,"8,435","21,433",ELECTED,YES,NO
St Clair Tp,ARNOLD,STEVE,MAYOR,"3,239","5,668",ELECTED,YES,NO
St Clair Tp,MILLER,STEVE,DEPUTY MAYOR,"2,766","5,668",ELECTED,YES,NO
St Clair Tp,KINGSTON,TRACY,LOCAL COUNCILLOR,"2,573","3,758",ELECTED,YES,NO
St Clair Tp,DEGURSE,JIM,LOCAL COUNCILLOR,"2,197","3,758",ELECTED,YES,NO
St Clair Tp,BROWN,PAT,LOCAL COUNCILLOR,"2,009","3,758",ELECTED,NO,NO
St Clair Tp,ATKINS,ROSE,LOCAL COUNCILLOR,"1,217","1,910",ELECTED,NO,NO
St Clair Tp,MYERS,BILL,LOCAL COUNCILLOR,"1,097","1,910",ELECTED,NO,NO
St Joseph Tp,ADAMS,STEVEN,LOCAL COUNCILLOR,317,705,ELECTED,NO,NO
St Joseph Tp,AELICK,LORRAINE,LOCAL COUNCILLOR,328,705,ELECTED,YES,NO
St Joseph Tp,AMBEAULT,CHERYL,LOCAL COUNCILLOR,515,705,ELECTED,NO,NO
St Joseph Tp,ELLIOTT,BARRY,LOCAL COUNCILLOR,563,705,ELECTED,NO,NO
St Joseph Tp,HALL,BRYON,LOCAL COUNCILLOR,272,705,ELECTED,NO,NO
St Joseph Tp,WIEDERKEHR,JOE,LOCAL COUNCILLOR,261,705,ELECTED,YES,NO
St Joseph Tp,WILDMAN,JODY,MAYOR, -   , -   ,ACCLAIMED,YES,NO
St Marys ST,STRATHDEE,Al,MAYOR, -   , -   ,ACCLAIMED,YES,NO
St Marys ST,CRAIGMILE,Jim,LOCAL COUNCILLOR,"1,524","10,272",ELECTED,YES,NO
St Marys ST,WINTER,Tony,LOCAL COUNCILLOR,"1,304","10,272",ELECTED,YES,NO
St Marys ST,PRIDHAM,Fern,LOCAL COUNCILLOR,"1,278","10,272",ELECTED,NO,NO
St Marys ST,EDNEY,Robert Charles,LOCAL COUNCILLOR,"1,023","10,272",ELECTED,NO,NO
St Marys ST,LUNA,Margaret,LOCAL COUNCILLOR,998,"10,272",ELECTED,NO,NO
St Marys ST,HAINER,Lynn,LOCAL COUNCILLOR,973,"10,272",ELECTED,YES,NO
St Thomas C,Preston,Joe,Mayor,"3,731","10,207",ELECTED,NO,NO
St Thomas C,Baldwin-Sands,Lori,LOCAL COUNCILLOR,"5,019","60,357",ELECTED,NO,NO
St Thomas C,Clarke,Gary,LOCAL COUNCILLOR,"5,032","60,357",ELECTED,YES,NO
St Thomas C,Herbert,Jim,LOCAL COUNCILLOR,"3,417","60,357",ELECTED,NO,NO
St Thomas C,Kohler,Jeff,LOCAL COUNCILLOR,"5,888","60,357",ELECTED,YES,NO
St Thomas C,Peters,Steve,LOCAL COUNCILLOR,"8,197","60,357",ELECTED,NO,NO
St Thomas C,Rymal,Joan,LOCAL COUNCILLOR,"3,477","60,357",ELECTED,YES,NO
St Thomas C,Stevenson,Linda,LOCAL COUNCILLOR,"4,080","60,357",ELECTED,YES,NO
St Thomas C,Tinlin,Mark,LOCAL COUNCILLOR,"3,939","60,357",ELECTED,YES,NO
St-Charles M,SCHOPPMANN,PAUL,MAYOR,486,869,ELECTED,YES,NO
St-Charles M,LOFTUS,MONICA,LOCAL COUNCILLOR,572,"2,664",ELECTED,YES,NO
St-Charles M,BRANCONNIER,PAUL,LOCAL COUNCILLOR,557,"2,664",ELECTED,NO,NO
St-Charles M,LEMIEUX,RICHARD,LOCAL COUNCILLOR,422,"2,664",ELECTED,YES,NO
St-Charles M,LAFLEUR,JACKIE,LOCAL COUNCILLOR,379,"2,664",ELECTED,YES,NO
Stirling-Rawdon Tp,Mullin,Bob,MAYOR,"1,197","1,899",ELECTED,YES,NO
Stirling-Rawdon Tp,Rock,John,LOCAL COUNCILLOR,581,"1,426",ELECTED,NO,NO
Stirling-Rawdon Tp,Watson,Sari,LOCAL COUNCILLOR,494,"1,426",ELECTED,NO,NO
Stirling-Rawdon Tp,Hagerman,Grant,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Stirling-Rawdon Tp,Solmes,Jeremy,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Stone Mills Tp,SMITH,ERIC,REEVE,"1,500","2,958",ELECTED,YES,NO
Stone Mills Tp,WISE,JOHN,DEPUTY REEVE,"1,886","2,985",ELECTED,YES,NO
Stone Mills Tp,DAVISON,DOUGLAS,LOCAL COUNCILLOR,"1,527","11,878",ELECTED,YES,NO
Stone Mills Tp,LALANDE,WENDA,LOCAL COUNCILLOR,"1,503","11,878",ELECTED,YES,NO
Stone Mills Tp,MILLIGAN,SHARI,LOCAL COUNCILLOR,"1,352","11,878",ELECTED,NO,NO
Stone Mills Tp,RICHMOND,KEVIN,LOCAL COUNCILLOR,"1,332","11,878",ELECTED,YES,NO
Stone Mills Tp,THOMPSON,DEB,LOCAL COUNCILLOR,"1,260","11,878",ELECTED,YES,NO
"Stormont, Dundas and Glengarry UCo",Fraser,Tony,LOCAL AND COUNTY COUNCILLOR,,,,NO,NO
"Stormont, Dundas and Glengarry UCo",MacDonald,Jamie,WARDEN,,,,NO,NO
"Stormont, Dundas and Glengarry UCo",Wert,Jim,LOCAL AND COUNTY COUNCILLOR,,,,NO,NO
"Stormont, Dundas and Glengarry UCo",Byvelds,Steven,LOCAL AND COUNTY COUNCILLOR,,,,NO,NO
"Stormont, Dundas and Glengarry UCo",Prevost,Frank,LOCAL AND COUNTY COUNCILLOR,,,,NO,NO
"Stormont, Dundas and Glengarry UCo",McGillis,Bryan,LOCAL AND COUNTY COUNCILLOR,,,,NO,NO
Stratford C,Mathieson,Dan,MAYOR,"7,837","11,658",ELECTED,YES,NO
Stratford C,Ritsma,Martin,LOCAL COUNCILLOR,"7,290","11,658",ELECTED,YES,NO
Stratford C,Henderson,Bonnie,LOCAL COUNCILLOR,"6,820","11,658",ELECTED,YES,NO
Stratford C,Ingram,Danielle,LOCAL COUNCILLOR,"6,438","11,658",ELECTED,YES,NO
Stratford C,Vassilakos,Kathy,LOCAL COUNCILLOR,"6,309","11,658",ELECTED,YES,NO
Stratford C,Clifford,Tom,LOCAL COUNCILLOR,"5,281","11,658",ELECTED,YES,NO
Stratford C,Beatty,Brad,LOCAL COUNCILLOR,"5,093","11,658",ELECTED,YES,NO
Stratford C,Sebben,Cody,LOCAL COUNCILLOR,"4,974","11,658",ELECTED,NO,NO
Stratford C,Bunting,Graham,LOCAL COUNCILLOR,"4,520","11,658",ELECTED,YES,NO
Stratford C,Burbach,Jo-Dee,LOCAL COUNCILLOR,"4,317","11,658",ELECTED,NO,NO
Stratford C,Gaffney,Dave,LOCAL COUNCILLOR,"4,302","11,658",ELECTED,NO,NO
Strathroy-Caradoc M,Vanderheyden,Joanne,MAYOR,"4,587","6,131",ELECTED,YES,NO
Strathroy-Caradoc M,Richards,Brad,DEPUTY MAYOR,"3,374","6,098",ELECTED,YES,NO
Strathroy-Caradoc M,Baker,Marie,LOCAL COUNCILLOR,"2,534","13,544",ELECTED,YES,NO
Strathroy-Caradoc M,Brennan,John,LOCAL COUNCILLOR,"2,770","13,544",ELECTED,YES,NO
Strathroy-Caradoc M,Kennes,Frank,LOCAL COUNCILLOR,"1,728","13,544",ELECTED,NO,NO
Strathroy-Caradoc M,Pelkman,Steve,LOCAL COUNCILLOR,"2,684","13,544",ELECTED,YES,NO
Strathroy-Caradoc M,Cowan,Larry,LOCAL COUNCILLOR,"1,176","5,369",ELECTED,YES,NO
Strathroy-Caradoc M,Flegel,Neil,LOCAL COUNCILLOR,"1,214","5,369",ELECTED,YES,NO
Strathroy-Caradoc M,Hipple,Sandi,LOCAL COUNCILLOR,"1,127","5,369",ELECTED,NO,NO
Strong Tp,Elik,Kelly,MAYOR,472,553,ELECTED,YES,NO
Strong Tp,Baillie,Jody,LOCAL COUNCILLOR,353,576,ELECTED,NO,NO
Strong Tp,Cottrell,Jason,LOCAL COUNCILLOR,237,576,ELECTED,YES,NO
Strong Tp,McLaren,Jeff,LOCAL COUNCILLOR,363,576,ELECTED,YES,NO
Strong Tp,Stickland,Marianne,LOCAL COUNCILLOR,242,576,ELECTED,NO,NO
Sundridge V,Hall,Lyle,MAYOR,223,376,ELECTED,YES,NO
Sundridge V,Jackson,Shawn,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO,NO
Sundridge V,Belrose,Barbara,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO,NO
Sundridge V,Rawn,Stephen,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO,NO
Sundridge V,Hicks,Steve,LOCAL COUNCILLOR,260,376,ELECTED,NO,NO
Tarbutt Tp,Burton,Chris,MAYOR,145,233,ELECTED,YES,NO
Tarbutt Tp,Farrar,Dave,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Tarbutt Tp,Wigmore,Ruth,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Tarbutt Tp,Smith,Lennox,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Tarbutt Tp,Abbott,Ursula,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO,NO
Tay Tp,Walker,Ted,MAYOR,"2,517","3,719",ELECTED,NO,NO
Tay Tp,Crawford,Jim,DEPUTY MAYOR,"2,191","3,701",ELECTED,YES,NO
Tay Tp,Raymond,Paul,LOCAL COUNCILLOR,574,"2,174",ELECTED,NO,NO
Tay Tp,Talbot,Sandy,LOCAL COUNCILLOR,875,"2,174",ELECTED,YES,NO
Tay Tp,Bumstead,Jeff,LOCAL COUNCILLOR,605,"3,116",ELECTED,NO,NO
Tay Tp,Warnock,Mary,LOCAL COUNCILLOR,965,"3,116",ELECTED,NO,NO
Tay Tp,Norris,Barry,LOCAL COUNCILLOR,321,611,ELECTED,NO,NO
Tay Valley Tp,Campbell,Brian,Reeve,"1,581","3,433",ELECTED,YES,NO
Tay Valley Tp,Crampton,Barrie,Deputy Reeve,"2,021","3,426",ELECTED,NO,NO
Tay Valley Tp,Phillips,Beverley,LOCAL COUNCILLOR,616,"2,234",ELECTED,NO,NO
Tay Valley Tp,Wicklum,Mick,LOCAL COUNCILLOR,609,"2,234",ELECTED,NO,NO
Tay Valley Tp,Rainer,Rob,LOCAL COUNCILLOR,455,"1,281",ELECTED,NO,NO
Tay Valley Tp,Darling,RoxAnne,LOCAL COUNCILLOR,483,"1,281",ELECTED,YES,NO
Tay Valley Tp,Dobbie,Fred,LOCAL COUNCILLOR,828,"2,377",ELECTED,YES,NO
Tay Valley Tp,Richardson,Gene,LOCAL COUNCILLOR,769,"2,377",ELECTED,NO,NO
Tecumseh T,MCNAMARA,GARY,MAYOR, -   , -   ,ACCLAIMED,YES,NO
Tecumseh T,BACHETTI,JOE,DEPUTY MAYOR,"3,507","7,007",ELECTED,YES,NO
Tecumseh T,DOWIE,ANDREW,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Tecumseh T,ALTENHOF,BILL,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Tecumseh T,TONIAL,RICK,LOCAL COUNCILLOR,988,"1,611",ELECTED,NO,NO
Tecumseh T,HOUSTON,BRIAN,LOCAL COUNCILLOR,683,"1,253",ELECTED,YES,NO
Tecumseh T,JOBIN,TANIA,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Tehkummah Tp,JAGGARD,DAVID,REEVE,393,490,ELECTED,NO,NO
Tehkummah Tp,GORDON,RICK,LOCAL COUNCILLOR,263,"1,777",ELECTED,NO,NO
Tehkummah Tp,LEESON,LORIE,LOCAL COUNCILLOR,338,"1,777",ELECTED,YES,NO
Tehkummah Tp,MCKENZIE,MICHAEL,LOCAL COUNCILLOR,353,"1,777",ELECTED,YES,NO
Tehkummah Tp,RUSSELL,ERIC,LOCAL COUNCILLOR,269,"1,777",ELECTED,YES,NO
Temagami M,O'Mara,Dan,MAYOR,623,"1,261",ELECTED,YES,NO
Temagami M,Dwyer,Cathy,LOCAL COUNCILLOR,856,"6,060",ELECTED,NO,NO
Temagami M,Leudke,Barret,LOCAL COUNCILLOR,715,"6,060",ELECTED,NO,NO
Temagami M,Harding,John,LOCAL COUNCILLOR,691,"6,060",ELECTED,YES,NO
Temagami M,Youngs,Margaret,LOCAL COUNCILLOR,588,"6,060",ELECTED,NO,NO
Temagami M,Koistinen,Jamie N.E.,LOCAL COUNCILLOR,562,"6,060",ELECTED,NO,NO
Temagami M,Shymko,John,LOCAL COUNCILLOR,554,"6,060",ELECTED,NO,NO
Temiskaming Shores C,Kidd,Carman,MAYOR,"2,084","2,568",ELECTED,YES,NO
Temiskaming Shores C,Jelly,Douglas,LOCAL COUNCILLOR,"1,707","2,568",ELECTED,YES,NO
Temiskaming Shores C,McArthur,Mike,LOCAL COUNCILLOR,"1,562","2,568",ELECTED,YES,NO
Temiskaming Shores C,Laferriere,Jeff,LOCAL COUNCILLOR,"1,549","2,568",ELECTED,YES,NO
Temiskaming Shores C,Foley,Jesse,LOCAL COUNCILLOR,"1,518","2,568",ELECTED,YES,NO
Temiskaming Shores C,Whalen,Danny,LOCAL COUNCILLOR,"1,433","2,568",ELECTED,YES,NO
Temiskaming Shores C,Hewitt,Patricia,LOCAL COUNCILLOR,"1,390","2,568",ELECTED,YES,NO
Terrace Bay Tp,DAVIS,JODY,MAYOR,412,632,ELECTED,YES,NO
Terrace Bay Tp,JOHNSON,BERTIL (BERT),LOCAL COUNCILLOR,422,"2,160",ELECTED,YES,NO
Terrace Bay Tp,MALASHEWSKI,PAUL,LOCAL COUNCILLOR,473,"2,160",ELECTED,NO,NO
Terrace Bay Tp,MOORE,MICHAEL,LOCAL COUNCILLOR,457,"2,160",ELECTED,YES,NO
